CONTROL,VIV_SEL,HOGAR,R_SEL,FAC_ELE
0140060,03,01,01,000525
0140060,04,01,02,000350
0140060,05,01,02,000350
0140062,01,01,02,000519
0140062,02,01,02,000346
0140062,03,01,02,000346
0140062,04,01,04,000692
0140062,05,01,01,000346
0140063,01,01,01,000298
0140063,02,01,01,000298
0140063,03,01,02,000298
0140063,04,01,01,000298
0140063,05,01,01,000298
0140065,01,01,02,000392
0140065,02,01,03,000588
0140065,03,01,01,000196
0140065,04,01,02,000392
0140065,05,01,03,000588
0140066,01,01,01,000676
0140066,02,01,02,000338
0140066,03,01,01,000507
0140066,04,01,01,000507
0140067,01,01,02,000561
0140067,02,01,01,000374
0140067,03,01,02,000561
0140067,04,01,03,000561
0140067,05,01,02,000374
0140070,01,01,02,000360
0140070,02,01,01,000180
0140070,03,01,01,000360
0140070,04,01,01,000180
0140070,05,01,02,000360
0140071,01,01,01,000172
0140071,02,01,01,000344
0140071,03,01,01,001032
0140071,04,01,03,000688
0140071,05,01,02,000344
0140073,01,01,02,000338
0140073,02,01,02,000338
0140073,03,01,01,000338
0140073,04,01,01,000338
0140073,05,01,01,000338
0140073,05,02,02,000507
0140074,01,01,02,000346
0140074,04,01,01,000692
0140074,05,01,01,000173
0140075,01,01,01,000724
0140075,02,01,01,000181
0140075,03,01,01,000181
0140075,04,01,01,000543
0140075,05,01,02,000362
0140076,01,01,01,000336
0140076,02,01,01,000168
0140076,04,01,01,000504
0140076,05,01,02,000336
0140077,01,01,01,000483
0140077,02,01,01,000161
0140077,03,01,04,000483
0140077,04,01,01,000322
0140077,05,01,01,000483
0140079,01,01,05,001020
0140079,03,01,01,000170
0140079,04,01,03,000510
0140079,05,01,02,000340
0140080,01,01,01,000342
0140080,02,01,03,000513
0140080,04,01,04,000684
0140080,05,01,01,000513
0140081,01,01,02,000564
0140081,03,01,02,000376
0140081,04,01,01,000376
0140081,05,01,03,000564
0140082,01,01,04,000660
0140082,02,01,02,000330
0140082,03,01,02,000330
0140082,04,01,02,000330
0140082,05,01,01,000330
0140083,01,01,01,000150
0140083,02,01,02,000300
0140083,03,01,01,000300
0140083,04,01,01,000300
0140083,05,01,01,000300
0140085,01,01,02,000796
0140085,03,01,03,000796
0140085,05,01,04,000796
0140087,01,01,02,000346
0140087,02,01,02,000519
0140087,03,01,01,000346
0140087,04,01,01,000346
0140087,05,01,05,000865
0140088,01,01,02,000716
0140088,02,01,01,000716
0140088,03,01,02,000895
0140088,04,01,01,000537
0140088,05,01,02,000358
0140089,01,01,03,000768
0140089,02,01,04,000960
0140089,03,01,02,000384
